Country_code_9_digit,Country_code,Country_name,Characteristic,Characteristic_category,NATden_girls_white_15,NATden_boys_white_15,NATden_all_white_15,KS4_LEVEL2_girls_white_15,KS4_LEVEL2_boys_white_15,KS4_LEVEL2_all_white_15,KS4_LEVEL2_EM_girls_white_15,KS4_LEVEL2_EM_boys_white_15,KS4_LEVEL2_EM_all_white_15,KS4_LEVEL1_girls_white_15,KS4_LEVEL1_boys_white_15,KS4_LEVEL1_all_white_15,KS4_LEVEL1_EM_girls_white_15,KS4_LEVEL1_EM_boys_white_15,KS4_LEVEL1_EM_all_white_15,KS4_L2BASICS_girls_white_15,KS4_L2BASICS_boys_white_15,KS4_L2BASICS_all_white_15,KS4_EBACC_E_girls_white_15,KS4_EBACC_E_boys_white_15,KS4_EBACC_E_all_white_15,KS4_EBACC_girls_white_15,KS4_EBACC_boys_white_15,KS4_EBACC_all_white_15,NATden_PROGENG_girls_white_15,NATden_PROGENG_boys_white_15,NATden_PROGENG_all_white_15,KS4_PROGENG_girls_white_15,KS4_PROGENG_boys_white_15,KS4_PROGENG_all_white_15,NATden_PROGMAT_girls_white_15,NATden_PROGMAT_boys_white_15,NATden_PROGMAT_all_white_15,KS4_PROGMAT_girls_white_15,KS4_PROGMAT_boys_white_15,KS4_PROGMAT_all_white_15,NATden_girls_mixed_15,NATden_boys_mixed_15,NATden_all_mixed_15,KS4_LEVEL2_girls_mixed_15,KS4_LEVEL2_boys_mixed_15,KS4_LEVEL2_all_mixed_15,KS4_LEVEL2_EM_girls_mixed_15,KS4_LEVEL2_EM_boys_mixed_15,KS4_LEVEL2_EM_all_mixed_15,KS4_LEVEL1_girls_mixed_15,KS4_LEVEL1_boys_mixed_15,KS4_LEVEL1_all_mixed_15,KS4_LEVEL1_EM_girls_mixed_15,KS4_LEVEL1_EM_boys_mixed_15,KS4_LEVEL1_EM_all_mixed_15,KS4_L2BASICS_girls_mixed_15,KS4_L2BASICS_boys_mixed_15,KS4_L2BASICS_all_mixed_15,KS4_EBACC_E_girls_mixed_15,KS4_EBACC_E_boys_mixed_15,KS4_EBACC_E_all_mixed_15,KS4_EBACC_girls_mixed_15,KS4_EBACC_boys_mixed_15,KS4_EBACC_all_mixed_15,NATden_PROGENG_girls_mixed_15,NATden_PROGENG_boys_mixed_15,NATden_PROGENG_all_mixed_15,KS4_PROGENG_girls_mixed_15,KS4_PROGENG_boys_mixed_15,KS4_PROGENG_all_mixed_15,NATden_PROGMAT_girls_mixed_15,NATden_PROGMAT_boys_mixed_15,NATden_PROGMAT_all_mixed_15,KS4_PROGMAT_girls_mixed_15,KS4_PROGMAT_boys_mixed_15,KS4_PROGMAT_all_mixed_15,NATden_girls_asian_15,NATden_boys_asian_15,NATden_all_asian_15,KS4_LEVEL2_girls_asian_15,KS4_LEVEL2_boys_asian_15,KS4_LEVEL2_all_asian_15,KS4_LEVEL2_EM_girls_asian_15,KS4_LEVEL2_EM_boys_asian_15,KS4_LEVEL2_EM_all_asian_15,KS4_LEVEL1_girls_asian_15,KS4_LEVEL1_boys_asian_15,KS4_LEVEL1_all_asian_15,KS4_LEVEL1_EM_girls_asian_15,KS4_LEVEL1_EM_boys_asian_15,KS4_LEVEL1_EM_all_asian_15,KS4_L2BASICS_girls_asian_15,KS4_L2BASICS_boys_asian_15,KS4_L2BASICS_all_asian_15,KS4_EBACC_E_girls_asian_15,KS4_EBACC_E_boys_asian_15,KS4_EBACC_E_all_asian_15,KS4_EBACC_girls_asian_15,KS4_EBACC_boys_asian_15,KS4_EBACC_all_asian_15,NATden_PROGENG_girls_asian_15,NATden_PROGENG_boys_asian_15,NATden_PROGENG_all_asian_15,KS4_PROGENG_girls_asian_15,KS4_PROGENG_boys_asian_15,KS4_PROGENG_all_asian_15,NATden_PROGMAT_girls_asian_15,NATden_PROGMAT_boys_asian_15,NATden_PROGMAT_all_asian_15,KS4_PROGMAT_girls_asian_15,KS4_PROGMAT_boys_asian_15,KS4_PROGMAT_all_asian_15,NATden_girls_black_15,NATden_boys_black_15,NATden_all_black_15,KS4_LEVEL2_girls_black_15,KS4_LEVEL2_boys_black_15,KS4_LEVEL2_all_black_15,KS4_LEVEL2_EM_girls_black_15,KS4_LEVEL2_EM_boys_black_15,KS4_LEVEL2_EM_all_black_15,KS4_LEVEL1_girls_black_15,KS4_LEVEL1_boys_black_15,KS4_LEVEL1_all_black_15,KS4_LEVEL1_EM_girls_black_15,KS4_LEVEL1_EM_boys_black_15,KS4_LEVEL1_EM_all_black_15,KS4_L2BASICS_girls_black_15,KS4_L2BASICS_boys_black_15,KS4_L2BASICS_all_black_15,KS4_EBACC_E_girls_black_15,KS4_EBACC_E_boys_black_15,KS4_EBACC_E_all_black_15,KS4_EBACC_girls_black_15,KS4_EBACC_boys_black_15,KS4_EBACC_all_black_15,NATden_PROGENG_girls_black_15,NATden_PROGENG_boys_black_15,NATden_PROGENG_all_black_15,KS4_PROGENG_girls_black_15,KS4_PROGENG_boys_black_15,KS4_PROGENG_all_black_15,NATden_PROGMAT_girls_black_15,NATden_PROGMAT_boys_black_15,NATden_PROGMAT_all_black_15,KS4_PROGMAT_girls_black_15,KS4_PROGMAT_boys_black_15,KS4_PROGMAT_all_black_15,NATden_girls_chinese_15,NATden_boys_chinese_15,NATden_all_chinese_15,KS4_LEVEL2_girls_chinese_15,KS4_LEVEL2_boys_chinese_15,KS4_LEVEL2_all_chinese_15,KS4_LEVEL2_EM_girls_chinese_15,KS4_LEVEL2_EM_boys_chinese_15,KS4_LEVEL2_EM_all_chinese_15,KS4_LEVEL1_girls_chinese_15,KS4_LEVEL1_boys_chinese_15,KS4_LEVEL1_all_chinese_15,KS4_LEVEL1_EM_girls_chinese_15,KS4_LEVEL1_EM_boys_chinese_15,KS4_LEVEL1_EM_all_chinese_15,KS4_L2BASICS_girls_chinese_15,KS4_L2BASICS_boys_chinese_15,KS4_L2BASICS_all_chinese_15,KS4_EBACC_E_girls_chinese_15,KS4_EBACC_E_boys_chinese_15,KS4_EBACC_E_all_chinese_15,KS4_EBACC_girls_chinese_15,KS4_EBACC_boys_chinese_15,KS4_EBACC_all_chinese_15,NATden_PROGENG_girls_chinese_15,NATden_PROGENG_boys_chinese_15,NATden_PROGENG_all_chinese_15,KS4_PROGENG_girls_chinese_15,KS4_PROGENG_boys_chinese_15,KS4_PROGENG_all_chinese_15,NATden_PROGMAT_girls_chinese_15,NATden_PROGMAT_boys_chinese_15,NATden_PROGMAT_all_chinese_15,KS4_PROGMAT_girls_chinese_15,KS4_PROGMAT_boys_chinese_15,KS4_PROGMAT_all_chinese_15
E92000001,921,England,SEN_status,No identified SEN,188141,177918,366059,144898,123717,268615,126612,108307,234919,184126,173283,357409,180871,170552,351423,129690,113709,243399,87307,70033,157340,59336,40504,99840,184979,174254,359233,145961,122013,267974,184833,174658,359491,133616,124012,257628,9786,9039,18825,7747,6481,14228,6588,5666,12254,9611,8791,18402,9425,8623,18048,6708,5901,12609,4894,3974,8868,3341,2429,5770,9505,8694,18199,7707,6346,14053,9502,8754,18256,6878,6217,13095,21440,21949,43389,17426,15955,33381,14967,13968,28935,21180,21453,42633,20777,21104,41881,15170,14452,29622,11654,9736,21390,8341,5929,14270,20379,20603,40982,17136,15711,32847,20503,20946,41449,16204,16462,32666,11754,10589,22343,9108,6933,16041,7454,5777,13231,11592,10303,21895,11286,9987,21273,7580,6050,13630,5926,4170,10096,3624,2067,5691,10717,9527,20244,8726,6904,15630,10703,9642,20345,8085,6826,14911,959,947,1906,898,812,1710,812,706,1518,x,x,1885,947,910,1857,814,716,1530,647,543,1190,575,416,991,833,802,1635,763,671,1434,925,902,1827,887,853,1740
E92000001,921,England,SEN_status,All SEN pupils,26614,45901,72515,7944,11263,19207,5914,8437,14351,20686,33999,54685,18374,31205,49579,6372,9490,15862,3298,4094,7392,1649,1671,3320,26128,44997,71125,13735,20336,34071,26148,45102,71250,9370,16812,26182,1452,2236,3688,523,581,1104,376,441,817,1146,1635,2781,1017,1490,2507,398,482,880,235,262,497,115,99,214,1418,2171,3589,801,1019,1820,1423,2180,3603,546,796,1342,2425,3597,6022,814,923,1737,563,698,1261,1977,2772,4749,1729,2495,4224,599,777,1376,423,442,865,190,166,356,2293,3413,5706,1343,1673,3016,2312,3439,5751,984,1465,2449,1943,2958,4901,688,731,1419,436,508,944,1643,2323,3966,1451,2051,3502,464,583,1047,351,367,718,133,104,237,1812,2790,4602,1094,1449,2543,1813,2801,4614,745,1098,1843,60,101,161,40,44,84,33,32,65,x,x,132,52,70,122,33,33,66,19,20,39,14,11,25,44,82,126,29,42,71,57,92,149,45,56,101
E92000001,921,England,SEN_status,SEN support,22214,33072,55286,7513,9638,17151,5595,7209,12804,19048,28183,47231,17111,26136,43247,6026,8101,14127,3146,3632,6778,1571,1460,3031,21784,32380,54164,12534,16487,29021,21787,32453,54240,8723,13797,22520,1222,1568,2790,503,502,1005,364,384,748,1061,1354,2415,948,1242,2190,385,414,799,226,233,459,111,86,197,1190,1515,2705,738,809,1547,1195,1521,2716,503,645,1148,1959,2748,4707,750,822,1572,518,621,1139,1795,2450,4245,1576,2232,3808,550,695,1245,398,399,797,182,147,329,1834,2575,4409,1217,1448,2665,1851,2599,4450,892,1300,2192,1646,2195,3841,655,659,1314,419,454,873,1526,1998,3524,1365,1796,3161,446,519,965,336,334,670,129,87,216,1517,2036,3553,1006,1226,2232,1519,2046,3565,697,940,1637,51,71,122,37,38,75,x,x,60,x,x,117,48,60,108,x,x,61,x,x,x,x,x,x,35,52,87,x,x,60,48,62,110,42,49,91
E92000001,921,England,SEN_status,SEN with a statement or EHC plan,4400,12829,17229,431,1625,2056,319,1228,1547,1638,5816,7454,1263,5069,6332,346,1389,1735,152,462,614,78,211,289,4344,12617,16961,1201,3849,5050,4361,12649,17010,647,3015,3662,230,668,898,20,79,99,12,57,69,85,281,366,69,248,317,13,68,81,9,29,38,4,13,17,228,656,884,63,210,273,228,659,887,43,151,194,466,849,1315,64,101,165,45,77,122,182,322,504,153,263,416,49,82,131,25,43,68,8,19,27,459,838,1297,126,225,351,461,840,1301,92,165,257,297,763,1060,33,72,105,17,54,71,117,325,442,86,255,341,18,64,82,15,33,48,4,17,21,295,754,1049,88,223,311,294,755,1049,48,158,206,9,30,39,3,6,9,x,x,5,5,10,15,4,10,14,x,x,5,x,x,x,x,x,x,9,30,39,x,x,11,9,30,39,3,7,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
